,airline_sentiment,text
4509,negative,@united will do. Thx. Been sitting on plane now for 2.5 hrs and now we have to refuel!  I can't even make this stuff up.
2278,positive,@SouthwestAir is the best. Case and point. https://t.co/ucVnilMb4x @ryand2285 #HappyBirthday
6888,neutral,@SouthwestAir  I will dm you now
3466,negative,"@USAirways we flew out, through and into good weather. when we landed,  another technical issue with gate. improve service or lose customers"
6686,neutral,"@SouthwestAir hi, can you please tell me why today's flights from Chicago to DIA were Cancelled Flightled? Thanks!"
1066,positive,@AmericanAir thanks for keeping us safe
5786,neutral,@AmericanAir See photo of B787 scale model &amp; our PN 320008A wheel deflator specified in Chapter 32 of B787 AMM. http://t.co/kfD4WQRkLW
607,positive,@JetBlue your employee Charles cave at the gate at MSY went above and beyond to help try to help me find my glasses. Thought u should know
3303,negative,@united I have proof that my situation now is due to company mistake
3823,negative,@SouthwestAir poor performance all around! Paid for Express checkin weeks ago and can't even leverage it #bullshit
5815,neutral,@JetBlue flight 2302 from JFK to BUF.
6257,neutral,"@SouthwestAir You guys must have been swamped, even took our corporate travel a long time to get in, but everything worked out in the end."
4923,neutral,@AmericanAir Will my us air points now be combined with yours?
5169,neutral,@JetBlue I did.... Would be nice to see more services out of @triflight instead of having to drive 3-4 hrs to like charlotte or atlanta
209,positive,@JetBlue Touchdown JFK! Well done pilots of JetBlue Flight 226! #JetBlueRocks
5413,neutral,@united any chance flight 3745 is being delayed??  nervous about driving to DFW in this weather to drop off my brother
5911,neutral,@united Lindsay and ??.  Darn.  Terrible memory on my part.  I know they are headed back to IAD and then PIT tonight.
4789,neutral,@AmericanAir I thought all those planes were retired? #MD80
983,positive,"@VirginAmerica Thanks so much for the awesome support, you guys rock!"
3300,negative,"@SouthwestAir @LeeAnnHealey I was all, yeah sale fares! I got places to fly! Oh damn, right, I live where SWA doesn't fly. #why"
4775,neutral,“@united: @Addair  We hope you don't miss your connection. For help with re-Flight Booking Problems please Follow us &amp; DM your confirmation. ^CP”done thx
1308,positive,"@United Bringing your ""A"" game with premium cabin dining. Nice! https://t.co/zgOQoxjBQY"
1406,positive,"@JetBlue yes, with about 20 minutes to spare.  FYI - your employees are amazing.  Keep up the good work!"
3048,negative,@AmericanAir pls help. This is seriously beyond ridiculous.
6147,neutral,@united one last thing....United club crackers...nabisco?? Where are the Pepperidge Farms?
5715,neutral,@United to start daily #B777-200ER flights from #Newark to #Milan #Malpensa replacing #B767-400ER on 7APR instead 28MAR #avgeek
4979,neutral,@USAirways can you help us figure out our correct six digit confirmation number?
2503,negative,@united still haven't received a response. Please direct message me for my contact information.
1644,positive,"Cool! ""@JetBlue: @hgeronemus We are 60% there and anticipate completing installation on all our A320's this year. http://t.co/sGckBopATA”"
3654,negative,@VirginAmerica Umm so no reason as to why this is? Is there someone different I should contact (or contact me) to get a definitive answer?
4145,negative,"@jetblue having trouble signing in to TrueBlue today, despite right credentials. getting ""We are not able to sign you in"" msg."
6428,neutral,@united Flight 1640 (N33289) arrives at @FlyTPA following flight from @iah http://t.co/RvCDA2nnme
4028,negative,@VirginAmerica @VirginAtlantic I have just checked in flight to SFO from LAX &amp; been told as Atlantic Flying Club Gold I get no benefits?!
5458,neutral,@USAirways I'm shutting my data off for the flight. I want some response by the time I land.  You have 2 hours.
3219,negative,"@JetBlue glitches on website re: Flight Booking Problems travel &amp; checking in. Nothing between ur site &amp; the airport was communicated, it was a nightmare."
3117,negative,@JetBlue's CEO battles to appease passengers and Wall Street - @TheVDT http://t.co/h6cE3mWCqj
1019,positive,@united just sent - thank you!
3297,negative,"@AmericanAir @marxsterbcow How is this a real life response to a customer service issue? Seriously. Keep trying to call us. Eh, might work."
862,positive,@united -today the staff @ MSP took customer service to a new level. My father passed away last night &amp; you helped me get home today! Thanks
1055,positive,@AmericanAir thanks
6409,neutral,@united [checked in + boardingpass w/no checkin bagage] guess i'm all set. :-)
4573,negative,@VirginAmerica how come you don't have an iPhone app? Still using and making me waste paper.
2191,positive,"@SouthwestAir Love, love, love this. Southwest Rocks!! Always!! https://t.co/q8VSfFRd1u"
6918,neutral,@SouthwestAir is hiring for their Emerging Leader Development Program- Last day to apply is TODAY! Apply here: http://t.co/jLHM0x7UkB
6617,neutral,@SouthwestAir PLEASE HELP! I would die to see the Vegas show! It would be amazing to hear their songs for real!
1889,positive,"@AmericanAir Thanks gang! Mind if I ask, do you handle all of your Social Media in house?"
2139,positive,@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue
5874,neutral,@JetBlue Says #Lufthansa Incentive Offer To Have No Impact On Share Count - Nasdaq http://t.co/VU7XSWJKiY
5122,neutral,@united is z and d code airfare refundable?
4766,neutral,"@united I have requested upgrade for EWR BOM flight, end of May. Miles + copay. When will i know if I am upgraded?"
267,positive,@SouthwestAir Thank you!
2790,negative,@AmericanAir there is no local agent! There is no person to answer our questions and their phone service is terrible.
4932,neutral,@united Will definitely do so. Sending a DM now.
3676,negative,@united I sure did.   I had to drive a total of 3 hours to get my own bag.  I'd like to explain that debacle but no one wants to talk to me.
4337,negative,@JetBlue continuing you record of never having a flight leave on time. Add up how much time with with my family you have cost me. #jetblue
1959,positive,@AmericanAir Aww Thanks AA..DFW was on GMA up here this AM..so i understand ..Btw A.A is my Airline when im able to trv..Love you guys.:)
5722,neutral,"@USAirways btw, not upset at usaiways, promise."
7020,neutral,@USAirways do you post travel alerts on your website? Traveling to Bdl on Sunday morning.
5211,neutral,"@united KOA-LAX should have fresh food service, right?"
4453,negative,"@AmericanAir because of you, I am doing the one thing I tried to avoid. Thank you for sending me to baggage claim."
3537,negative,@USAirways now on hold for 90 minutes
5896,neutral,"@USAirways  I need to email customer service for help and a question, can you please provide the email address?"
5071,neutral,@USAirways My hubby has a 5hr layover in DFW fm the cxl'd flt. Pls help get him home sooner if you can! Any room on S/by 2 BWI or PHL today?
1090,positive,@SouthwestAir Thank you!
5550,neutral,@USAirways can i please have someone call me 781 879 4505
4834,neutral,@SouthwestAir Yay! And are dependents with ID (wife children) eligible to use this discount too? How do you use it over the phone/inperson?
2470,negative,@united Flt 4487 is having some MAJOR delays bc ground crew was so SLOW. The flight crew has been terrific. Been 2 hours on the ground..😡...
234,positive,@USAirways thanks !!!
3859,negative,"@AmericanAir I understand the weather issues. I don't understand how I was not notified of the Cancelled Flightlation, and had to realize it so Late Flight."
3184,negative,"@SouthwestAir 9 hrs in Baltimore, still not going to get my baggage to greenville w me. This is just unbelievable."
4537,negative,@united you're right. Good you caught the mechanical failure. Too bad there are no blankets. But ok.
2142,positive,@SouthwestAir Big kudos to your staff today at Dallas Love Field for lifting everyone's spirits today with all the delays and Cancelled Flightlations
1646,positive,@JetBlue thank you. Just sent msg.
5702,neutral,@USAirways and that you can choose the same seat for free after clicking 100 buttons.
5424,neutral,@JetBlue Flight 136 departed Phoenix at 1:30 am
4687,negative,@AmericanAir Trying for 20 hrs to reach agent. Must make change that can't be done on web by 11:59 PST. Had to Cancelled Flight revs ystday.
4177,negative,@AmericanAir any ways to get through the 50 minute wait to book a flight?
2504,negative,"@JetBlue flight delayed 3x(!) and still not taking off on time, &amp; greeting me at my seat (yes it's gum &amp; garbage): http://t.co/n9hmcrJChb"
2138,positive,@USAirways Absolutely!! The staff was amazing!!
3419,negative,@SouthwestAir Nashville airport has runways open. It appears southwest is only airline Cancelled Flighting flights. Is this likely to change?
3268,negative,@Jetblue Delay = Perfect time to learn Swift programming with @TeamTreehouse
4221,negative,@USAirways haven't eaten all day either so lemme get that CC# so I can buy a burger across from the terminal.  #DoBetter @UsAirwaysSuck
62,positive,@united thanks for more timely updates.
2017,positive,@AmericanAir well Done all of you xx
5081,neutral,@USAirways Bag policy says stroller OR car seat.  We need to bring 2 car seats and 1 stroller.  Should I just call for details?
1348,positive,@JetBlue he loved the #natural #beefjerky snacks😉
4164,negative,"@SouthwestAir oh, ok!  all good!  looking forward to escaping the cold for a bit!  thanks!"
1666,positive,"@JetBlue wow, keeping up with the times..."
511,positive,@united Was able to send the DM. All good now.
6694,neutral,@JetBlue How do I know if my flight was deemed a dark flight?
2561,negative,@AmericanAir  your customer service is deplorable. I am disgusted in your company and the ignorant people on the phones for lost baggage.
5223,neutral,"@AmericanAir is the new 9:45 time confirmed or it may get Cancelled Flightled? Traveling with kids, need to be certain. Thx"
1477,positive,@united Made the upgrade list. Will fly 1st tomorrow (for 40 min) for the first time ever! 🙌 #StatusMatchPaidOff http://t.co/ATfRKp6goY
1840,positive,@JetBlue huge fan of great brands and people doing great things… you guys rock happy to share the love!
5427,neutral,@AmericanAir my key point of confusion is whether I can make this change even though the initial Flight Booking Problems was on US Airways metal?
6060,neutral,@AmericanAir No snow in St. Louis. Cold but no snow. Hub flights welcome.
4130,negative,@USAirways Can't get ahold of anyone to speak to about missing miles. It's been over a month since travel &amp; I've submitted twice online
4519,negative,@united it would be great to get a callback from the agent that disconnected me trying to put me on hold after waiting to connectfor 60+min
1442,positive,"@united Very good flight, thank you!"
5110,neutral,@united 6533 ORD to DCA
347,positive,@united  Great customer service again. Thanks!
2144,positive,@SouthwestAir Kudos for adding #Passbook to your app! I LOVE IT!
4215,negative,"@united Thanks for your response. Bags came, but it was a long wait and priority tags weren't honored at all. Disappointing"
6704,neutral,@SouthwestAir Hi do you know why WN4287 is already delayed until 9:35pm tonight? Thanks !
628,positive,@USAirways ok thanks
6095,neutral,@SouthwestAir Who can I contact about requesting a charity donation? #ThankYou
3822,negative,@AmericanAir Stuck on the plane in Charlotte.  Going to miss my connection.  No words from staff. Maybe some damn pretzels?
5949,neutral,@AmericanAir OK I will call them likely tmrw UK time to question the process getting the change charge reversed due to a bereavement
540,positive,@SouthwestAir thank you!!
2039,positive,@united love being told you would issue a refund when you couldn't get us out of the way of a hurricane to have it denied
4583,negative,@SouthwestAir been on hold for over an hour to speak to a customer service rep. What the heck?? #Southwest #customerservice
4031,negative,@USAirways also your employees were LESS then helpful when @Jack_Kairys was checking his bag. Two just left their desks completely (1/2)
871,positive,"@united Fair enough. I don't usually rant, but it's good to know someone's listening. :)"
833,positive,@SouthwestAir rules.
3340,negative,@SouthwestAir kudos to the #RSW CS crew for re-routing PAX to alleviate Over sale due to down graded EQP 800 now 500
1259,positive,@VirginAmerica fav airline
1531,positive,@SouthwestAir Thanks to your team for dealing with Flight 1700 to Houston.
866,positive,@JetBlue @Leopolds_IC  No but my friend in the picture - Phillip Heller (JFK IFC) did and he said it was delicious!
5119,neutral,@AmericanAir 3127. Just landed in LIT.
6889,neutral,@jetblue How long ago can a trip have taken place for me to still get credit if I didn't apply my TrueBlue # when I booked?
3427,negative,@AmericanAir When will callers from the East Coast be able to speak to an actual human for reservation support? All agents busy call Late Flightr..
1244,positive,@united is #ELP Friendly. #flyerfriendly #united #emb145 #elpaso http://t.co/9mEOzBO4xl
2652,negative,@USAirways you keep suggesting people call 800-428-4322 but we just end up on hold for hours. You seriously don't have a better method?!
2706,negative,"@USAirways  you were always my go to. What happened?  Airbus over Boeing, and now no customer service?"
200,positive,@VirginAmerica plus you've added commercials to the experience... tacky.
1484,positive,"@united it was very comfortable, now waiting for our luggage"
4843,neutral,"@AmericanAir guarantee no retribution? If so, I'd be glad to share."
4622,negative,@USAirways no we haven't because we've been in the same line at the service desk for an 1hr and 1/2 now in the same spot.
2597,negative,@USAirways what's wrong with the plane? Flt 581
2054,positive,@JetBlue its always a pleasure ☺️
2852,negative,@united - thanks for the rude customer service and 3 hour delay. It really helped me timing wise for my afternoon meetings. Hello @Delta !
4204,negative,@USAirways I'm traveling around the world until the end of the year. 800 numbers do me no good.
4802,neutral,@SouthwestAir can you speed up your flight from AZ to Omaha? I need to see muh boy ✈️
4998,neutral,@SouthwestAir I DMed you :)
4813,neutral,@united DCA-EWR Flight #4372
307,positive,@SouthwestAir Thanks! Sent a DM to you. Let me know if oyu need any additional information.
5417,neutral,"@JetBlue CEO weighs profits, flyers - @ChronicleHerald (registration) http://t.co/l2n0egHdgn"
5476,neutral,@united Can I add miles from my January Air China flight to my MileagePlus account?
1728,positive,@united They finally gave in a let him on. After they threatened to send him back to Vegas on coach. Thnx.
269,positive,@USAirways Mellani B. and whole team in Columbia SC are absolute superstars. Incredibly helpful.
6092,neutral,"@USAirways just heard #Monterey airport was closed due to thick fog, any updates"
1080,positive,"@JetBlue lmfao, i love it"
7023,neutral,"“@SouthwestAir: Congrats to these fans who are seeing #DestinationDragons in L.A.! SLC, you're next! http://t.co/YcCITaeP3S” Thanks again SW"
6241,neutral,@united flight to DFW from IAD Cancelled Flightled for mechanical can I get rental car to MDT-my origin
4197,negative,@AmericanAir now we are all stuck on the plane after landing because crew unable to figure it out
2741,negative,"@USAirways horrible service, wrong plane arrived, many confirmed passengers could not get on flight we paid for due to lack of seats flight"
2070,positive,"@JetBlue:  Ahoy from a loyal #AllYouCanJetPass holder! When do you anticipate direct US flights to #Havana, #Cuba? (#JetBlue #Vacation)"
1654,positive,"@SouthwestAir crew of WN3946 SAN-SFO was brilliant! Rita was hilarious. I know I've been down on you before, but this was a great flight"
6297,neutral,"@united My post was just more of disappointment.  I'm a frequent United flyer, it was a simple ??.  1 bad apple doesn't spoil the bunch."
5783,neutral,@JetBlue any good deals for March?! Looking to fly to Orlando!
293,positive,@SouthwestAir  thanks for adding passbook ability! Hopefully we can do group passbook tickets in the future somehow.
4798,neutral,"Aww, is it? @JetBlue I guess now I need to book a flight to somewhere warm ASAP! Any suggestions?"
5539,neutral,"@united question:are there onboad 110 volt outlets in all planes? If so, where?"
4333,negative,@USAirways I'm logged into a Flight Booking Problems. I need to add API before travelling to the states but I cannot see where to do it
6459,neutral,@united hi -- @united was. Thank you!
6004,neutral,@USAirways come scoop
6838,neutral,@united it's done.  If you do something to make up for it I'll tweet that too.
643,positive,@SouthwestAir THANK YOU SO MUCH FOR ACCESS TO #DestinationDragons TONIGHT AT @theTroubadour 😁 @Imaginedragons Crying /dying rn #ripme
3134,negative,@USAirways thanks for the worst customer service on the face of the earth. I loved the 5+ hrs on hold along w 2 Cancelled Flightled flights
4252,negative,@USAirways I'm glad too. But I should not have to spend an hour to try and track down the basic information that you already have available.
6736,neutral,@united if I was rebooked do I have to pick up my luggage?
3665,negative,@USAirways I need someone from management to contact me I was flying to a funeral won't make it now to add to my pain they want me 2 pay
5601,neutral,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare"
1658,positive,"@AmericanAir Flight 2954, Dallas to Grand Junction #AmazingFlightCrew"
6074,neutral,“@JetBlue: Our fleet's on fleek. http://t.co/XX5QSCjlL1” @BrandsSayingBae #Freberg15
4710,negative,@united any chance you can troubleshoot check ins at @FlyYOW ? We're at 20 minutes per person.
4244,negative,@SouthwestAir tried to enter that rapid rewards contest link on facebook but all my browsers kept popping up security warnings 4 it.
425,positive,@united My bag reference ID number is IND43728M. Thanks for looking at it.
4645,negative,@united yes of course I have.  Is this how you treat customer with no recourse?
1578,positive,@united service by staff was great as usual. Cleanliness and smells a bit much. I'll be back. #satisfied traveler
1245,positive,"@AmericanAir versus @JetBlue 
in Customer Service?
Who will win!
For Me @AmericanAir is a convenience to a trip to Cali &lt;3"
2543,negative,@SouthwestAir fyi the link in your baggage incident email redirects to a 404 on mobile. The link auto changes on mobile. Desktop works fine.
1344,positive,"@americanair new plane, #gogo, easy power for laptop, iPhone, just missing a good boat-style swivel cup holder for my #dietcoke #happyflier"
4243,negative,@USAirways once again your company actualy put people in weird situations.Your hostel voucher was fake.Snow is ok but no lies please
1304,positive,@united I'll make sure he's done that. Thanks for the help. This is a huge race for him and just trying to make sure it goes smoothly. Peace
6135,neutral,@JetBlue what's the easiest way to get a ticket receipt? Can I get one at check in or can I get one online? Thanks!
5607,neutral,@SouthwestAir I dunno my travel information.. like what?
5551,neutral,@JetBlue real shit my nigga north don't play around!
1769,positive,@united Thanks for the reminder. It's been a fun ride. http://t.co/pPVA4Rch9f
2232,positive,@united Thanks for taking care of that MR!! Happy customer.
3327,negative,"@united please explain why I need to pay bag fees twice, equally $1200, because a delayed flight resulted in bags being rechecked overnight?"
4045,negative,"@united hey, it's 4am, guess what I'm doing? Not sleeping! Why? Cause you care so little about your customers you let them sleep in airports"
4058,negative,"@united once he found out we had a problem he avoided me like the plague. Was told ""we can't find a supervisor."""
6593,neutral,@AmericanAir See photo of 787 model &amp; our PN 320008A wheel deflator specified in Chapter 32 of B787 AMM. http://t.co/oilnCfWEyg
5367,neutral,"@SouthwestAir just did, thank you"
6063,neutral,@SouthwestAir how do I get a companion pass
3448,negative,@SouthwestAir and now no wifi??? Come on.
1672,positive,@AmericanAir Aww Thanks AA..DFW was on GMA up here this AM..so i understand ..Btw A.A is my Airline when im able to trv..Love you guys.:)
3630,negative,@united how do you stay in business with such poor service? #poorservice #notgoodenough http://t.co/VO61LME5ja
6962,neutral,"@SouthwestAir unveils 4 new #flights, including 2 from #Ohio http://t.co/grkBj7bxlk"
4097,negative,"@JetBlue  hmmm it says im following you. We just got de-iced, but still haning around for the runway to clear.."
3590,negative,@SouthwestAir I figured the streaming wouldn't work per the TOS but just the @NASCAR site is taking longer than 5 minutes to load
3940,negative,@USAirways Thanks for ruining my last night of vacation because I have to worry about my flight because y'all don't have record of it
2800,negative,UA3388 @united was Cancelled Flightled not delayed.  Re-Flight Booking Problems still 90 miles from home.  At least acknowledge the Cancelled Flightlation.
6290,neutral,@united no thanks
1039,positive,@united thanks for the effort. I can get the earliest. Though I will make a complaint for a refund as I am losing one business day tomorrow
1002,positive,@SouthwestAir just sent another 4 drink coupons....I think I have over 30 coupons now. free drinks anyone?
4703,negative,"@AmericanAir For the love of all that is holy, if your automated phone system is going to give like 8 options, give numerical shortcuts"
6806,neutral,"@USAirways Can you help with a seat assignment?  5 people flight 694, PHX to HNL, seats are split up.  Anything you can do will be great."
3118,negative,"@united but if i tweet the ID number, won't that reveal my home address to anyone on the web?"
70,positive,@JetBlue Haha. Thanks. You guys are great. Unlike the @nyjets. ;-) #GoPatriots!
3018,negative,"@JetBlue Thank you, but that isn't really responding to my request, is it? You are sending me into a generic environment on your site."
5167,neutral,@united Thank you.
5287,neutral,"@USAirways I left my personal stuff on US4551 from PHL-BOS about an hour ago. Went baggage, was told plane left to call 800#"
249,positive,@AmericanAir I was happy to purchase the upgrade. If only it was avail on my next flight.
4142,negative,.@AmericanAir I can't even get on the phone with your reservations team. The system automatically disconnects us.
2567,negative,@AmericanAir I'll try to have a great week once I receive it 😩😭💔
6259,neutral,@SouthwestAir Sorry! Thought I did. It's done now.
4565,negative,"@USAirways I've been on a music hold for over a hour trying to get my AAdvantage membership merged, can someone please call me ASAP?"
5890,neutral,@AmericanAir Flight 35. I'm on my way.
6425,neutral,@JetBlue I have a reservation for tomorrow morning but trying to get back 2 night bc other flight was going to jfk. Can I get on list at CTG
717,positive,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!
1163,positive,@USAirways thanks
1636,positive,@VirginAmerica really wish you'd fly out of #Fargo @fargoairport those fares are amazings
3838,negative,@united thanks ^mr i got rebooked already but I lost my first class seat. Such is life.
6208,neutral,@JetBlue @EllaHenderson Ah! Wish I was there! Good luck!
2031,positive,@united awesome I'll book my next Christmas vacatinn this December any other ways you want to devalue mileage plus.
2453,negative,@united we've been seating for 5hrs inside flight UA936 at #IAD delayed. We've only been offered water &amp; cookies in business class. #failed
6342,neutral,"@SouthwestAir Dang, if only practice was an hour Late Flightr today..."
2117,positive,@JetBlue Awww thank you B6! Glad to hear it!  Made my day! &amp; one last question do you have any idea what tail is operating flt 606 2maro? :)
4450,negative,"@JetBlue this is awful! flight out of jfk for our honeymoon is delayed AGAIN until 1225 AM, and we lost money on a hotel now! #delayforwhat?"
5003,neutral,@JetBlue Are all of your flights out of Charleston tomorrow on-time or is there a possibility for delays/Cancelled Flightlations?
3051,negative,@SouthwestAir extremely #disappointed with poor the customer service provided after Cancelled Flighting my flight today! #unprofessional
1593,positive,@united good job at CLE .. TPA on schedule ... 4 to 5 inches of snow ! http://t.co/9tbsJquw41
3410,negative,"@united Marcus helped me - good agent, couldn't fix it. Flight was listed on website, but ""unavailable""to book. False advertising much?"
2188,positive,@AmericanAir Aww cool! It's nice to know they are still up above my head then. One of my faves.
3165,negative,@united ua1673 still waiting! Supposed to depart 9:08
6745,neutral,"@AmericanAir we are off to Kax premium.  Hoping this flight is better food, TV now I know how to work it and service. Tnx"
497,positive,"@united yes, Thx! At 10:35 (landed at 9:20)."
2774,negative,@JetBlue That's not weather reLate Flightd.  You are just being nice and blaming the weather.  Airport just wasn't prepared. Investigation time.
4114,negative,@AmericanAir I understand the need to drain the lavatory fearing freezing but why no policy on checking that before boarding? smh come on...
2298,positive,@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!
1310,positive,@SouthwestAir DeLacy P is a compassionate professional! Despite the flight challenges she made passengers feel like priorities!!🌟🌟
3179,negative,@USAirways holding 30+ min and listening to your shitty ads on repeat for your credit make me hate your airline even more.  @delta is better
281,positive,@southwestair #netneutrality Nice to see you prioritize Internet traffic to your own streaming service over other web sites!
6359,neutral,"@USAirways contact via FB messages, Twitter DM or text?"
5894,neutral,@JetBlue Airways Hits New 52-Week High at $17.58 (JBLU) - sleekmoney http://t.co/zdKXn4kTOu
4676,negative,"@USAirways @KieranMahan needs two nights at a hotel in phoenix until he can get back to Philly because of plane equipment, crazy!"
2242,positive,@SouthwestAir thank you :)
3776,negative,"@USAirways after last night in Charlotte NC I'm seriously debating never flying you again. 50 minute on the Tarmac, connection leaves."
4897,neutral,@SouthwestAir #stepup #makeitright re you best? Or just money hungry? #wewillsee
6088,neutral,@JetBlue yesterday's deal?
5472,neutral,@SouthwestAir App Updated With #Passbook Support http://t.co/WrWqrUblPs via @ubergizmo
3698,negative,@SouthwestAir yeah they told me it would be on the next flight. I drove down and it wasnt. I just drove down for a second time and they were
3189,negative,@united @staralliance Now do the right thing and reinstate the tickets you voided #UnitedFail
4056,negative,@JetBlue They did not have any &amp; asked if I wanted tea. How do you have tea&amp;not coffee? I'm a gold on United &amp; coffee I nvr think 2x about
120,positive,@united that would be great - 1k us651621
4358,negative,"@united so you told me to go, knowing what the issue was, only for me to go there and find out that you won’t fix it?"
913,positive,@JetBlue sounds good!!!💙💙💙💙
738,positive,@united Thanks for the update.
2648,negative,@united I would appreciate an answer on why we weren't alerted flight had been Cancelled Flighted until plane landed.  #showsomerespect
1834,positive,“@united: @SonyaSloanMD Happy to have had you on board. Please share details here: http://t.co/2TrgEMteBZ ^KP” Done!
4961,neutral,"I'd like the 11c I originally tried for @AmericanAir - again, happy to pay the difference"
760,positive,@AmericanAir thank you!
5707,neutral,@USAirways yes travel is complete flight 5095 from CLT to CAK Feb 18
3325,negative,"@JetBlue not to get into semantics here but ""by"" means ""within the extent or period of; during"" and it is still technically 2/19 #dictionary"
4671,negative,@USAirways little help to us! My husband has been on hold for an hour for something that take 5 minutes to complete.
350,positive,@usairways #crew keeping safety top of mind in CLT. http://t.co/a0YoSJHZMc
1607,positive,"@AmericanAir pretty impressed with the in flight entertainment. Full touch, usable, smooth, good selection."
1427,positive,"@AmericanAir thank you AA, this is how I always start my vacations http://t.co/dzKc3auZU9"
3240,negative,@united Worst airline ever?
1772,positive,@AmericanAir made it!  Thanks AA!
837,positive,@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!
4857,neutral,"@JetBlue Gains Altitude, But SkyWest Hits Turbulence JBLU SKYW - Investor's Business Daily http://t.co/P2HUM7lXUR"
1651,positive,@JetBlue Thanks for having us hang out at Tampa Airport forever today!!! It's really been an awesome experience
5762,neutral,@USAirways thank u i wiil write after call  travel agency
4085,negative,@AmericanAir your planes made me miss 2 connections in 2 days. Thanks for nothing
1355,positive,@AmericanAir thanks for the info Is there a number I can call to speak to a person? It's going to take an hour to type it out
1165,positive,@SouthwestAir I miss mine terribly. A +1 for my 30th anniversary would be amazing. It would mean LUV is in the air. #dontmakemebeg
2460,negative,@united Why was flight 1180 EWR to MCO Cancelled Flightled for tomorrow and what do I do to rebook. Asking for a relative.
5751,neutral,@SouthwestAir to start 2xdaily #B737-700 flights from #Columbus OH to #Boston @BostonLogan on 8AUG #avgeek
1416,positive,@JetBlue got it. thanks the quick reply.
1633,positive,"@SouthwestAir Another great flight &amp; crew, Las Vegas-Chicago #3397. Thanks!"
5255,neutral,Too Late Flight. RT “@JetBlue: Our fleet's on fleek. http://t.co/nJ5Ga1gds5”
2435,negative,@united I hope you have a solution or insurance to cover this issue
5785,neutral,"@united Yesterday, I'm sorted now."
75,positive,@VirginAmerica thank you! See y'all soon! I'm excited to see the expansion of destinations. Spread those wings!
6770,neutral,JetBlue reading the NYTimes. “@JetBlue: Our fleet's on fleek. http://t.co/lvIrTDtqly”
4941,neutral,@SouthwestAir I would love a great deal from bwi to las Memorial Day weekend aka my bday weekend 😬
4496,negative,@JetBlue Yep. 1 hour at Logan. Gangway broke and cabin crew stuck on plane. They just arrived. Passengers request butt massages.
2154,positive,@VirginAmerica Like http://t.co/VPqEm31XUQ
6303,neutral,@AmericanAir Flight 35. I'm on my way.
5809,neutral,@VirginAmerica @ladygaga @carrieunderwood - Carrie!
2621,negative,@USAirways I already let them know and sent 4 complaints.  Got a call back finally when I was asleep and there is no return call back #
5031,neutral,@JetBlue thanks. Can you change the music in the boarding gates?
4492,negative,@USAirways worst customer service. Still not providing me an answer even after I drove back to CLT airport. been rude &amp; unacceptable #fail
773,positive,@united When are you coming back to @IFlyOAKland? You have a huge East Bay customer base due to SFO and *I* miss you!
3438,negative,"@united more people stranded cause you suck. Better yet, you weasel out of Flight Booking Problems rooms for people claiming weather http://t.co/Flcnnn2USD"
4415,negative,@united flight UA5631 from SFO to Burbank has been delayed twice now. Still no plane in sight. Get it together.
2445,negative,"@USAirways quick, let's board a plane so that we can sit on runway for 2 hours #clockwork #scareways #neverfails @AUmilo1"
2480,negative,@AmericanAir been rebooked for tomorrow. You failed to put me on DL flight today despite my asking and available seat. DL still available
6813,neutral,@AmericanAir What happens when you combine Top Chef &amp; the beauty of San Miguel de Allende. My Late Flightst food blog.  http://t.co/7t1rDRCRe6
2296,positive,@USAirways we were moved to a delta direct. Thank you for the accommodations!
3820,negative,@USAirways I've been waiting for desk for 45 and on hold 36min and counting...photo of desk agent on phone not flattering.
5127,neutral,@JetBlue Thanks! I just sent a few DMs.
4391,negative,@USAirways you guys Cancelled Flightled two of my flights yesterday and I checked the bag to Huntsville and it went missing in Philly.
7083,neutral,"@SouthwestAir  Tried to DM you, it won't let me as it says you are not following me."
7008,neutral,"@JetBlue sorry for my misunderstanding of the term, but what does that exactly mean?"
6903,neutral,@VirginAmerica save some for 871 tomorrow AM!
3856,negative,@SouthwestAir don't ever tweet me again
4628,negative,@AmericanAir Hi AA friends! My sis's flight AA362 DFW&gt;&gt;MKE was Cancelled Flighted due to weather. Any way you can help here? What are her options?
3694,negative,@JetBlue 1242 now?! I may cry!
393,positive,"@SouthwestAir, thanks for being so good to us #military folk. It's cold in #StLouis but I sure enjoyed my flight. http://t.co/RcdH183Q1J"
5347,neutral,"More like BaeJet Airways, amirite?

“@JetBlue: @terrybrokebad Right back at ya!”"
2237,positive,@united. You guys made my day. Treated me well. Thank you!!!
5883,neutral,“@JetBlue: Our fleet's on fleek. http://t.co/ar0VayLmFc” Really Jet Blue? Lmao
4879,neutral,@USAirways conf number FMJTYL delayed - any chance of getting an earlier flight fll to phx?
577,positive,@JetBlue we made it safe and sound. Thank you for the safe travels.
4601,negative,@JetBlue kids fly. Don't hire people who don't care about them. This guy. #jetblue http://t.co/clvlhfgUZw
5491,neutral,"@AmericanAir looking for status of flight 1388 schedule for 5:15 am tomorrow morning, thank you"
